subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
82173583,19171,,109306,"{""images"":""Deci44100_CCES_010_1664.png"",""sounds"":""Deci44100_CCES_010_1664.mp3"",""subject_id"":""Deci44100_CCES_010_1664""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b7dfb596-0ddb-4dbe-8495-4c419e70660b.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/4bfc50fe-ea2b-4a1c-89e2-4e773dfbe32a.png""}",0,,,2022-11-07 20:39:42 UTC,2022-11-07 20:39:42 UTC
82173596,19171,,109306,"{""images"":""Deci44100_CCES_010_1668.png"",""sounds"":""Deci44100_CCES_010_1668.mp3"",""subject_id"":""Deci44100_CCES_010_1668""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/129c9228-e9ea-4430-beb9-f43029741c62.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/67b1924c-9bff-44de-933a-02f2d2dd9bca.png""}",0,,,2022-11-07 20:39:43 UTC,2022-11-07 20:39:43 UTC
82173599,19171,,109306,"{""images"":""Deci44100_CCES_010_167.png"",""sounds"":""Deci44100_CCES_010_167.mp3"",""subject_id"":""Deci44100_CCES_010_167""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/28a2ff1d-b130-4b74-84ff-c9260346e307.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/2bf13189-f2f3-41f7-987c-bade182c5109.png""}",0,,,2022-11-07 20:39:43 UTC,2022-11-07 20:39:43 UTC
82173604,19171,,109306,"{""images"":""Deci44100_CCES_010_168.png"",""sounds"":""Deci44100_CCES_010_168.mp3"",""subject_id"":""Deci44100_CCES_010_168""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2efe0d51-07d4-498d-b160-ce53023cea9c.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/52945607-430f-49f5-9e36-0b7bc70df917.png""}",0,,,2022-11-07 20:39:43 UTC,2022-11-07 20:39:43 UTC
82173611,19171,,109306,"{""images"":""Deci44100_CCES_010_1688.png"",""sounds"":""Deci44100_CCES_010_1688.mp3"",""subject_id"":""Deci44100_CCES_010_1688""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c97bb304-af3c-472f-8a16-0aff424fab16.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/244280b3-79e2-4113-af7c-86fcd10de80d.png""}",0,,,2022-11-07 20:39:44 UTC,2022-11-07 20:39:44 UTC
82173626,19171,,109306,"{""images"":""Deci44100_CCES_010_1718.png"",""sounds"":""Deci44100_CCES_010_1718.mp3"",""subject_id"":""Deci44100_CCES_010_1718""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ae460f81-702d-485d-9613-dcd9e802f07c.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/3bda643c-beee-4f4d-81de-f46bea09a902.png""}",0,,,2022-11-07 20:39:44 UTC,2022-11-07 20:39:44 UTC
82173628,19171,,109306,"{""images"":""Deci44100_CCES_010_1758.png"",""sounds"":""Deci44100_CCES_010_1758.mp3"",""subject_id"":""Deci44100_CCES_010_1758""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e7e26394-4e40-4af4-b8af-3267a4c3acb3.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/20fc35bc-75f5-4438-82f5-96d2258d295c.png""}",0,,,2022-11-07 20:39:44 UTC,2022-11-07 20:39:44 UTC
82173630,19171,,109306,"{""images"":""Deci44100_CCES_010_1793.png"",""sounds"":""Deci44100_CCES_010_1793.mp3"",""subject_id"":""Deci44100_CCES_010_1793""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/8aab6de0-75f3-4e99-acdd-92c329b47cbe.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/5c0e0dcb-ea4f-4034-884f-882353a5f07b.png""}",0,,,2022-11-07 20:39:45 UTC,2022-11-07 20:39:45 UTC
82173635,19171,,109306,"{""images"":""Deci44100_CCES_010_1815.png"",""sounds"":""Deci44100_CCES_010_1815.mp3"",""subject_id"":""Deci44100_CCES_010_1815""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3a3641cb-f1a9-4d08-8412-02d85d3c4b94.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/1faef44c-6190-4f30-9277-4b646d06074c.png""}",0,,,2022-11-07 20:39:45 UTC,2022-11-07 20:39:45 UTC
82173644,19171,,109306,"{""images"":""Deci44100_CCES_010_1839.png"",""sounds"":""Deci44100_CCES_010_1839.mp3"",""subject_id"":""Deci44100_CCES_010_1839""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cb6a1424-b162-4a0a-b89f-9bda36b87bb3.mpga"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/222c4522-58e6-494e-9af9-83eecc9942a1.png""}",0,,,2022-11-07 20:39:46 UTC,2022-11-07 20:39:46 UTC
